46  100
46  115
46  132
46  152
46  175
46  202
46  233
46  268
46  309
46  356
46  410
46  472
46  544
46  626
46  721
46  831
46  957
46  1102
46  1269
46  1462
46  1683
46  1939
46  2233
46  2571
46  2961
46  3411
46  3928
46  4523
46  5209
46  5999
51  100
51  115
51  132
51  152
51  175
51  202
51  233
51  268
51  309
51  356
51  410
51  472
51  544
51  626
51  721
51  831
51  957
51  1102
51  1269
51  1462
51  1683
51  1939
51  2233
51  2571
51  2961
51  3411
51  3928
51  4523
51  5209
51  5999
58  100
58  115
58  132
58  152
58  175
58  202
58  233
58  268
58  309
58  356
58  410
58  472
58  544
58  626
58  721
58  831
58  957
58  1102
58  1269
58  1462
58  1683
58  1939
58  2233
58  2571
58  2961
58  3411
58  3928
58  4523
58  5209
58  5999
65  100
65  115
65  132
65  152
65  175
65  202
65  233
65  268
65  309
65  356
65  410
65  472
65  544
65  626
65  721
65  831
65  957
65  1102
65  1269
65  1462
65  1683
65  1939
65  2233
65  2571
65  2961
65  3411
65  3928
65  4523
65  5209
65  5999
74  100
74  115
74  132
74  152
74  175
74  202
74  233
74  268
74  309
74  356
74  410
74  472
74  544
74  626
74  721
74  831
74  957
74  1102
74  1269
74  1462
74  1683
74  1939
74  2233
74  2571
74  2961
74  3411
74  3928
74  4523
74  5209
74  5999
83  100
83  115
83  132
83  152
83  175
83  202
83  233
83  268
83  309
83  356
83  410
83  472
83  544
83  626
83  721
83  831
83  957
83  1102
83  1269
83  1462
83  1683
83  1939
83  2233
83  2571
83  2961
83  3411
83  3928
83  4523
83  5209
83  5999
94  100
94  115
94  132
94  152
94  175
94  202
94  233
94  268
94  309
94  356
94  410
94  472
94  544
94  626
94  721
94  831
94  957
94  1102
94  1269
94  1462
94  1683
94  1939
94  2233
94  2571
94  2961
94  3411
94  3928
94  4523
94  5209
94  5999
106  100
106  115
106  132
106  152
106  175
106  202
106  233
106  268
106  309
106  356
106  410
106  472
106  544
106  626
106  721
106  831
106  957
106  1102
106  1269
106  1462
106  1683
106  1939
106  2233
106  2571
106  2961
106  3411
106  3928
106  4523
106  5209
106  5999
120  100
120  115
120  132
120  152
120  175
120  202
120  233
120  268
120  309
120  356
120  410
120  472
120  544
120  626
120  721
120  831
120  957
120  1102
120  1269
120  1462
120  1683
120  1939
120  2233
120  2571
120  2961
120  3411
120  3928
120  4523
120  5209
120  5999
135  100
135  115
135  132
135  152
135  175
135  202
135  233
135  268
135  309
135  356
135  410
135  472
135  544
135  626
135  721
135  831
135  957
135  1102
135  1269
135  1462
135  1683
135  1939
135  2233
135  2571
135  2961
135  3411
135  3928
135  4523
135  5209
135  5999
152  100
152  115
152  132
152  152
152  175
152  202
152  233
152  268
152  309
152  356
152  410
152  472
152  544
152  626
152  721
152  831
152  957
152  1102
152  1269
152  1462
152  1683
152  1939
152  2233
152  2571
152  2961
152  3411
152  3928
152  4523
152  5209
152  5999
172  100
172  115
172  132
172  152
172  175
172  202
172  233
172  268
172  309
172  356
172  410
172  472
172  544
172  626
172  721
172  831
172  957
172  1102
172  1269
172  1462
172  1683
172  1939
172  2233
172  2571
172  2961
172  3411
172  3928
172  4523
172  5209
172  5999
194  100
194  115
194  132
194  152
194  175
194  202
194  233
194  268
194  309
194  356
194  410
194  472
194  544
194  626
194  721
194  831
194  957
194  1102
194  1269
194  1462
194  1683
194  1939
194  2233
194  2571
194  2961
194  3411
194  3928
194  4523
194  5209
194  5999
219  100
219  115
219  132
219  152
219  175
219  202
219  233
219  268
219  309
219  356
219  410
219  472
219  544
219  626
219  721
219  831
219  957
219  1102
219  1269
219  1462
219  1683
219  1939
219  2233
219  2571
219  2961
219  3411
219  3928
219  4523
219  5209
219  5999
247  100
247  115
247  132
247  152
247  175
247  202
247  233
247  268
247  309
247  356
247  410
247  472
247  544
247  626
247  721
247  831
247  957
247  1102
247  1269
247  1462
247  1683
247  1939
247  2233
247  2571
247  2961
247  3411
247  3928
247  4523
247  5209
247  5999
278  100
278  115
278  132
278  152
278  175
278  202
278  233
278  268
278  309
278  356
278  410
278  472
278  544
278  626
278  721
278  831
278  957
